Topic_ID,Book_Number,Book_Title,Module_ID,Module_Title,Topic_Number,Chapter_Title_HR,Target_Grades,Cycle_Context,Learning_Outcome_Draft,Offline_Activity,Observable_Success_Check,Supervision_Tier,Safety_Boundary,Expert_Review_Required,Theme_Tags,Curriculum_Status,Curriculum_Map_IDs,Core_Pages,Lesson_Minutes_Planning_Assumption,Lower_Readiness_Adaptation,Higher_Readiness_Extension,Companion_Asset_IDs,Digital_Optional,Evidence_And_Update_Notes,Source_IDs,Source_URLs,Authoring_Status
B2-001,2,Mogu više!,B2-M01,Upravljam svojim danom,1,Tjedan koji mogu organizirati,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Create a realistic weekly plan including rest and support,Arrange fictional commitments on a paper weekly planner,Identifies a conflict and makes a feasible adjustment,L - low-risk paper/ordinary activity,Do not demand disclosure of family schedules or caring responsibilities,Subject teacher,UKU;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-022,4,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-001-W01;B2-001-C01;B2-001-TG;B2-001-PG;B2-M01-MISSION,B2-001-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B2-002,2,Mogu više!,B2-M01,Upravljam svojim danom,2,"Učim za razumijevanje, ne samo za test",OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Use retrieval practice and spaced review without fixed learning-style labels,Recall a short safe passage then schedule two reviews,Explains one misconception corrected through checking,L - low-risk paper/ordinary activity,No high-stakes grades or intelligence comparisons,Learning-science editor,UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-002-W01;B2-002-C01;B2-002-TG;B2-002-PG;B2-M01-MISSION,B2-002-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B2-003,2,Mogu više!,B2-M01,Upravljam svojim danom,3,Od velikog cilja do prvog koraka,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Turn a goal into milestones and a next action,Break a mock school project into five tasks and dependencies,Names a first action and a realistic checkpoint,L - low-risk paper/ordinary activity,Offer smaller supported goals and avoid productivity pressure,Subject teacher,UKU;POD,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-022,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-003-W01;B2-003-C01;B2-003-TG;B2-003-PG;B2-M01-MISSION,B2-003-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S01,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_157.html,PLANNED - not drafted or professionally validated
B2-004,2,Mogu više!,B2-M01,Upravljam svojim danom,4,Moje stvari i obveze pod kontrolom,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Use a checklist to track items and commitments,Prepare a paper borrowing-and-return log with fictional items,"Records an item, return date and follow-up correctly",L - low-risk paper/ordinary activity,"No real names, addresses or valuable property needed",Subject teacher,OSR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-004-W01;B2-004-C01;B2-004-TG;B2-004-PG;B2-M01-MISSION,B2-004-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B2-005,2,Mogu više!,B2-M01,Upravljam svojim danom,5,Kad sve ne stane u isti dan,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Prioritise obligations and renegotiate overload,"Sort a fictional overloaded day into do, defer and ask-for-help",Protects essential needs and makes a clear help request,L - low-risk paper/ordinary activity,Do not reward sleep loss or excessive unpaid responsibilities,School psychologist,OSR;UKU;ZDR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-015,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-005-W01;B2-005-C01;B2-005-TG;B2-005-PG;B2-M01-MISSION,B2-005-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03;S07,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html,PLANNED - not drafted or professionally validated
B2-006,2,Mogu više!,B2-M01,Upravljam svojim danom,6,Kako donosim bolju odluku?,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,"Compare options, consequences and missing information",Choose between three fictional activities using a simple decision grid,Explains a trade-off and a reason to delay a decision,L - low-risk paper/ordinary activity,No assessment of political or religious choices,Subject teacher,UKU;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-006-W01;B2-006-C01;B2-006-TG;B2-006-PG;B2-M01-MISSION,B2-006-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B2-007,2,Mogu više!,B2-M02,Samostalnije kod kuće,7,Perem i sušim odjeću,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Read care labels and plan a suitable wash,Sort clean samples and select a mock washing-machine setting,Matches labels and identifies an adult-only chemical step,A - responsible adult actively supervises practical activity,"Adult controls detergent capsules, electrics and machine operation",Home-economics educator,ODR;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-007-W01;B2-007-C01;B2-007-TG;B2-007-PG;B2-M02-MISSION,B2-007-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S05;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B2-008,2,Mogu više!,B2-M02,Samostalnije kod kuće,8,Prišijem gumb i produžim vijek stvari,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Complete a basic supervised fabric repair,Sew a large button onto scrap fabric using an approved setup,Button remains attached and all needles are accounted for,A - responsible adult actively supervises practical activity,"Adult manages needles, small parts and adaptations",Practical-skills educator,ODR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,4,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-008-W01;B2-008-C01;B2-008-TG;B2-008-PG;B2-M02-MISSION,B2-008-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S05;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B2-009,2,Mogu više!,B2-M02,Samostalnije kod kuće,9,Čistim sigurno: etiketa prije sredstva,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Read hazard labels and choose safe cleaning actions,Match photographed labels to protective and stop-and-ask choices,Rejects mixing chemicals and unknown products,A - responsible adult actively supervises practical activity,"No mixing, decanting or live chemical experiments; no ladders",Chemical-safety reviewer,ZDR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-009-W01;B2-009-C01;B2-009-TG;B2-009-PG;B2-M02-MISSION,B2-009-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
B2-010,2,Mogu više!,B2-M02,Samostalnije kod kuće,10,Mali popravak ručnim alatom,OŠ 5-8,Cycle 2: grade 5; Cycle 3: grades 6-8,Choose a tool and perform a low-risk tabletop fastening,Tighten a loose screw on a prepared training object,Secures the object and stops when a tool does not fit,A - responsible adult actively supervises practical activity,"No power tools, electrics, blades, load-bearing furniture or improvised repairs",Practical-skills educator,UKU;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Worked fictional example; vocabulary support; smaller steps; adult-supported option,Compare alternatives; check a source; justify uncertainty and a safe stopping point,B2-010-W01;B2-010-C01;B2-010-TG;B2-010-PG;B2-M02-MISSION,B2-010-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
