Topic_ID,Book_Number,Book_Title,Module_ID,Module_Title,Topic_Number,Chapter_Title_HR,Target_Grades,Cycle_Context,Learning_Outcome_Draft,Offline_Activity,Observable_Success_Check,Supervision_Tier,Safety_Boundary,Expert_Review_Required,Theme_Tags,Curriculum_Status,Curriculum_Map_IDs,Core_Pages,Lesson_Minutes_Planning_Assumption,Lower_Readiness_Adaptation,Higher_Readiness_Extension,Companion_Asset_IDs,Digital_Optional,Evidence_And_Update_Notes,Source_IDs,Source_URLs,Authoring_Status
B1-001,1,"Mali koraci, velike vještine",B1-M01,Ja i moj dan,1,Jutro bez žurbe,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Sequence a manageable morning routine and ask for support when needed,Arrange five routine cards and try the agreed order on two mornings,Explains the order and identifies one step needing help,L - low-risk paper/ordinary activity,"No shame or penalties for disability, family circumstances or needing help",Primary teacher,OSR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-001-W01;B1-001-C01;B1-001-TG;B1-001-PG;B1-M01-MISSION,B1-001-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-002,1,"Mali koraci, velike vještine",B1-M01,Ja i moj dan,2,"Moja torba, moja provjera",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Pack essentials using a short checklist,Pack a school bag from a mock timetable containing one deliberate distraction,Includes the essentials and removes one unnecessary item,L - low-risk paper/ordinary activity,Do not require purchases or compare possessions,Primary teacher,OSR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-002-W01;B1-002-C01;B1-002-TG;B1-002-PG;B1-M01-MISSION,B1-002-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-003,1,"Mali koraci, velike vještine",B1-M01,Ja i moj dan,3,Što obući danas?,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Choose clothing for weather and activity,Match illustrated forecasts with clothing and explain an alternative,Names two reasons for the choice,L - low-risk paper/ordinary activity,Adult checks severe-weather suitability; no exposure challenges,Primary teacher,ZDR;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-003-W01;B1-003-C01;B1-003-TG;B1-003-PG;B1-M01-MISSION,B1-003-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B1-004,1,"Mali koraci, velike vještine",B1-M01,Ja i moj dan,4,"Vezice, patentni zatvarač i gumbi",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Practise one accessible way to fasten clothing,Use a lacing board or large-button fabric with an adapted option,Demonstrates a fastening or selects a suitable adaptation,A - responsible adult actively supervises practical activity,No cords around necks; adult controls needles and small parts,Occupational therapist or special educator,OSR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-004-W01;B1-004-C01;B1-004-TG;B1-004-PG;B1-M01-MISSION,B1-004-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-005,1,"Mali koraci, velike vještine",B1-M01,Ja i moj dan,5,Koliko još imam vremena?,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Read everyday time and estimate a short task,Use a paper clock to plan getting ready before a fictional departure,"Correctly orders start, finish and departure",L - low-risk paper/ordinary activity,Avoid speed contests and anxiety-based timers,Primary teacher,UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-005-W01;B1-005-C01;B1-005-TG;B1-005-PG;B1-M01-MISSION,B1-005-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-006,1,"Mali koraci, velike vještine",B1-M01,Ja i moj dan,6,"Velik zadatak, mali koraci",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Break a task into steps and decide when to ask for help,Turn tidying a desk into three picture steps,Completes or explains the steps and one help request,L - low-risk paper/ordinary activity,A request for help counts as competent action,Primary teacher,UKU;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-022,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-006-W01;B1-006-C01;B1-006-TG;B1-006-PG;B1-M01-MISSION,B1-006-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S03;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
B1-007,1,"Mali koraci, velike vještine",B1-M02,Moj dom i moje stvari,7,Svaka stvar ima svoje mjesto,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Organise personal items for easier finding,Sort a mixed tray into three labelled storage places,Can find each item again using the labels,L - low-risk paper/ordinary activity,Never handle unidentified medicine or sharp waste,Primary teacher,OSR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-055,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-007-W01;B1-007-C01;B1-007-TG;B1-007-PG;B1-M02-MISSION,B1-007-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
B1-008,1,"Mali koraci, velike vještine",B1-M02,Moj dom i moje stvari,8,"Prljavo, čisto ili za popravak?",OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Distinguish laundry categories and responsibility,Sort clean fabric samples using picture baskets,Correctly sorts four of five samples and asks about uncertainty,L - low-risk paper/ordinary activity,No detergent capsules or appliance operation in the exercise,Home-economics educator,OSR;ODR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-055,2,20-30; extend to 45 with discussion,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-008-W01;B1-008-C01;B1-008-TG;B1-008-PG;B1-M02-MISSION,B1-008-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S05,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_152.html,PLANNED - not drafted or professionally validated
B1-009,1,"Mali koraci, velike vještine",B1-M02,Moj dom i moje stvari,9,Postavljam stol i pospremam za sobom,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Set an accessible place and clear it safely,Set one place with unbreakable items and count what is needed,Places essentials and clears a spill-free path,A - responsible adult actively supervises practical activity,"Adult handles hot dishes, knives and broken glass",Home-economics educator,OSR;UKU,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-009-W01;B1-009-C01;B1-009-TG;B1-009-PG;B1-M02-MISSION,B1-009-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S02;S03,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_154.html,PLANNED - not drafted or professionally validated
B1-010,1,"Mali koraci, velike vještine",B1-M02,Moj dom i moje stvari,10,Prolilo se! Što sada?,OŠ 1-4,Cycle 1: grades 1-2; Cycle 2: grades 3-4 of this book,Recognise a safe small water spill versus a dangerous spill,"Choose an action for water, unknown liquid and broken-glass picture cards",Asks for adult help for dangerous or unknown spills,A - responsible adult actively supervises practical activity,"Only small clean-water practice; no chemicals, glass or electrics",Safety educator,ZDR;OSR,Proposed thematic fit; verified code anchors only where linked in 07; grade-specific pedagogy not yet approved,CM-045,2,45-60; professional sessions separately scheduled,Co-read; picture choices; adult models; demonstrate by pointing or speaking,Explain a choice and adapt one variable,B1-010-W01;B1-010-C01;B1-010-TG;B1-010-PG;B1-M02-MISSION,B1-010-Q01: optional private self-check; print-equivalent provided,"Foundational curriculum sources below are not complete medical, legal or technical validation. Specialist must add exact dated operational references before manuscript approval.",S07;S02,https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_10_212.html | https://narodne-novine.nn.hr/clanci/sluzbeni/2019_01_7_153.html,PLANNED - not drafted or professionally validated
